0,307,308
1,308,282
2,282,46
3,46,222
4,222,59
5,59,58
6,58,128
7,128,463
8,463,428
9,428,462
10,462,461
11,461,254
12,254,460
13,460,86
14,86,459
15,459,458
16,458,457
17,457,456
18,456,455
19,455,454
20,454,453
21,453,452
22,452,252
23,252,251
24,251,451
25,451,450
26,450,449
27,449,417
28,417,727
29,727,728
30,728,585
31,585,434
32,434,729
33,729,238
34,238,730
35,730,624
36,624,623
37,623,731
38,731,732
39,732,628
40,628,649
41,649,625
42,625,733
43,733,277
44,277,418
45,418,419
46,419,278
47,278,568
48,568,569
49,569,570
50,570,571
51,571,268
52,268,331
53,331,367
54,424,260
55,260,423
56,423,226
57,226,124
58,124,422
59,422,90
60,90,421
61,421,44
62,44,121
63,121,547
64,547,548
65,548,549
66,549,550
67,550,551
68,551,552
69,552,553
70,553,554
71,554,248
72,248,143
73,143,247
74,247,246
75,246,245
76,245,555
77,555,243
78,243,175
79,175,556
80,556,557
81,557,242
82,242,173
83,173,276
84,276,401
85,401,402
86,402,403
87,403,404
88,404,405
89,405,406
90,406,407
91,407,408
92,408,409
93,409,410
94,410,237
95,237,411
96,411,412
97,412,413
98,413,414
99,414,415
100,415,416
101,416,417
102,449,389
103,389,734
104,734,735
105,735,108
106,108,82
107,82,335
108,335,736
109,736,737
110,737,52
111,52,392
112,392,205
113,205,123
114,123,393
115,393,202
116,202,318
117,318,319
118,319,395
119,395,200
120,200,203
121,203,204
122,204,607
123,607,606
124,606,471
125,471,455
126,428,427
127,427,426
128,426,425
129,425,261
130,261,227
131,227,262
132,262,263
133,263,424
134,217,120
135,120,57
136,57,225
137,225,127
138,127,424
139,450,521
140,521,520
141,520,519
142,519,400
143,400,399
144,399,398
145,398,397
146,397,396
147,396,203
148,200,199
149,199,63
150,63,62
151,62,61
152,58,221
153,221,464
154,464,283
155,283,307
156,307,465
157,465,466
158,466,467
159,467,363
160,363,362
161,362,361
162,361,360
163,360,207
164,207,596
165,596,595
166,595,594
167,594,593
168,593,592
169,592,493
170,493,494
171,418,173
